raceId,driverId,year,constructorId,grid,position,win,pole,pit_stop_count,pit_stop_binary
862,819,2012,206,22,20,0,0,3,1
863,1,2012,1,2,8,0,0,3,1
863,3,2012,131,5,5,0,0,3,1
863,4,2012,6,9,7,0,0,3,1
863,5,2012,207,16,17,0,0,4,1
863,8,2012,208,11,2,0,0,3,1
863,10,2012,206,23,19,0,0,3,1
863,13,2012,6,14,9,0,0,3,1
863,17,2012,9,3,4,0,0,3,1
863,18,2012,1,4,18,0,0,4,1
863,20,2012,9,1,1,1,1,3,1
863,30,2012,131,18,10,0,0,3,1
863,37,2012,164,22,20,0,0,3,1
863,39,2012,164,24,21,0,0,4,1
863,154,2012,208,7,3,0,0,3,1
863,155,2012,15,12,13,0,0,3,1
863,807,2012,10,13,12,0,0,3,1
863,808,2012,207,20,16,0,0,3,1
863,811,2012,3,15,22,0,0,3,1
863,813,2012,3,17,23,0,0,2,0
863,814,2012,10,10,6,0,0,2,0
863,815,2012,15,8,11,0,0,3,1
863,817,2012,5,6,15,0,0,3,1
863,818,2012,5,19,14,0,0,3,1
863,819,2012,206,21,24,0,0,1,0
864,1,2012,1,1,8,0,1,2,0
864,3,2012,131,7,7,0,0,3,1
864,4,2012,6,3,2,0,0,3,1
864,5,2012,207,20,16,0,0,3,1
864,8,2012,208,5,3,0,0,3,1
864,10,2012,206,22,18,0,0,3,1
864,13,2012,6,17,15,0,0,4,1
864,17,2012,9,12,11,0,0,3,1
864,18,2012,1,11,9,0,0,3,1
864,20,2012,9,8,6,0,0,4,1
864,30,2012,131,9,24,0,0,1,0
864,37,2012,164,23,19,0,0,4,1
864,39,2012,164,24,22,0,0,2,0
864,154,2012,208,4,4,0,0,3,1
864,155,2012,15,10,5,0,0,3,1
864,807,2012,10,14,10,0,0,3,1
864,808,2012,207,19,17,0,0,3,1
864,811,2012,3,18,23,0,0,0,0
864,813,2012,3,2,1,1,0,3,1
864,814,2012,10,13,14,0,0,3,1
864,815,2012,15,6,20,0,0,3,1
864,817,2012,5,16,13,0,0,3,1
864,818,2012,5,15,12,0,0,3,1
864,819,2012,206,21,21,0,0,2,0
865,1,2012,1,4,5,0,0,1,0
865,3,2012,131,3,2,0,0,1,0
865,4,2012,6,6,3,0,0,1,0
865,5,2012,207,18,13,0,0,2,0
865,8,2012,208,8,9,0,0,1,0
865,10,2012,206,20,14,0,0,2,0
865,13,2012,6,7,6,0,0,1,0
865,17,2012,9,2,1,1,0,1,0
865,18,2012,1,13,16,0,0,1,0
865,20,2012,9,10,4,0,0,1,0
865,30,2012,131,1,19,0,1,1,0
865,37,2012,164,21,22,0,0,0,0
865,39,2012,164,23,15,0,0,2,0
865,154,2012,208,5,24,0,0,0,0
865,155,2012,15,12,21,0,0,1,0
865,807,2012,10,11,8,0,0,1,0
865,808,2012,207,19,20,0,0,1,0
865,811,2012,3,14,10,0,0,1,0
865,813,2012,3,9,23,0,0,0,0
865,814,2012,10,15,7,0,0,1,0
865,817,2012,5,16,17,0,0,1,0
865,818,2012,5,17,12,0,0,2,0
865,819,2012,206,22,18,0,0,1,0
866,1,2012,1,2,1,1,0,2,0
866,3,2012,131,5,6,0,0,2,0
866,4,2012,6,3,5,0,0,1,0
866,5,2012,207,18,18,0,0,2,0
866,8,2012,208,12,8,0,0,1,0
866,10,2012,206,22,21,0,0,1,0
866,13,2012,6,6,10,0,0,2,0
866,17,2012,9,4,7,0,0,2,0
866,18,2012,1,10,16,0,0,3,1
866,20,2012,9,1,4,0,1,2,0
866,30,2012,131,9,22,0,0,2,0
866,37,2012,164,21,23,0,0,0,0
866,39,2012,164,24,24,0,0,0,0
866,154,2012,208,7,2,0,0,1,0
866,155,2012,15,11,9,0,0,1,0
866,807,2012,10,13,12,0,0,2,0
866,808,2012,207,19,19,0,0,2,0
866,811,2012,3,16,17,0,0,1,0
866,813,2012,3,17,13,0,0,1,0
866,814,2012,10,8,11,0,0,2,0
866,815,2012,15,15,3,0,0,1,0
866,817,2012,5,14,14,0,0,2,0
866,818,2012,5,20,15,0,0,3,1
866,819,2012,206,23,20,0,0,1,0
867,1,2012,1,2,19,0,0,2,0
867,3,2012,131,6,6,0,0,2,0
867,4,2012,6,11,1,1,0,2,0
867,5,2012,207,16,14,0,0,2,0
867,8,2012,208,5,2,0,0,2,0
867,13,2012,6,13,16,0,0,4,1
867,17,2012,9,19,4,0,0,2,0
867,18,2012,1,9,8,0,0,2,0
867,20,2012,9,1,21,0,1,2,0
867,30,2012,131,12,3,0,0,2,0
867,37,2012,164,21,17,0,0,2,0
867,39,2012,164,22,18,0,0,3,1
867,154,2012,208,4,20,0,0,2,0
867,155,2012,15,7,22,0,0,2,0
867,807,2012,10,8,5,0,0,2,0
867,808,2012,207,20,13,0,0,4,1
867,811,2012,3,14,10,0,0,2,0
867,813,2012,3,3,12,0,0,2,0
867,814,2012,10,10,7,0,0,1,0
867,815,2012,15,15,9,0,0,2,0
867,817,2012,5,17,11,0,0,2,0
867,818,2012,5,18,23,0,0,1,0
867,819,2012,206,23,15,0,0,2,0
868,1,2012,1,8,8,0,0,2,0
868,3,2012,131,13,15,0,0,2,0
868,4,2012,6,1,2,0,1,2,0
868,5,2012,207,20,17,0,0,2,0
868,8,2012,208,6,5,0,0,2,0
868,10,2012,206,21,18,0,0,2,0
868,13,2012,6,5,4,0,0,2,0
