raceId,driverId,grid,position,constructorId
83,32,11,20,9
83,2,12,6,3
83,14,13,19,9
83,13,14,14,15
83,35,15,16,15
83,17,16,7,3
83,27,17,15,18
83,39,18,12,17
83,38,19,18,18
83,33,20,13,17
84,8,1,1,1
84,21,2,4,4
84,4,3,2,4
84,31,4,3,1
84,15,5,6,7
84,2,6,18,3
84,17,7,20,3
84,13,8,19,15
84,23,9,12,7
84,32,10,8,9
84,22,11,10,6
84,14,12,7,9
84,18,13,5,16
84,11,14,9,16
84,33,15,15,17
84,27,16,16,18
84,38,17,13,18
84,35,18,11,15
84,39,19,14,17
84,30,20,17,6
85,8,1,4,1
85,31,2,1,1
85,4,3,2,4
85,18,4,8,16
85,11,5,16,16
85,15,6,5,7
85,30,7,10,6
85,22,8,12,6
85,21,9,3,4
85,23,10,6,7
85,14,11,15,9
85,35,12,11,15
85,32,13,13,9
85,17,14,14,3
85,13,15,9,15
85,42,16,7,3
85,33,17,17,17
85,38,18,18,18
85,39,19,20,17
85,27,20,19,18
86,31,1,14,1
86,8,2,1,1
86,21,3,20,4
86,15,4,16,7
86,4,5,2,4
86,23,6,7,7
86,30,7,18,6
86,13,8,10,15
86,18,9,3,16
86,17,10,4,3
86,11,11,19,16
86,14,12,17,9
86,22,13,5,6
86,35,14,6,15
86,42,15,15,3
86,32,16,9,9
86,38,17,13,18
86,27,18,12,18
86,33,19,8,17
86,39,20,11,17
87,4,1,3,4
87,31,2,1,1
87,21,3,5,4
87,18,4,7,16
87,8,5,2,1
87,32,6,9,9
87,30,7,4,6
87,15,8,13,7
87,13,9,11,15
87,22,10,6,6
87,23,11,8,7
87,35,12,12,15
87,33,13,16,17
87,17,14,17,3
87,42,15,19,3
87,14,16,20,9
87,39,17,15,17
87,27,18,14,18
87,11,19,10,16
87,38,20,18,18
88,23,1,8,7
88,18,2,5,16
88,21,3,2,4
88,32,4,9,9
88,11,5,20,16
88,14,6,6,9
88,17,7,4,3
88,35,8,12,15
88,22,9,11,6
88,13,10,10,15
88,39,11,15,17
88,42,12,17,3
88,27,13,16,18
88,30,14,7,6
88,38,15,14,18
88,4,16,3,4
88,8,17,1,1
88,31,18,19,1
88,15,19,18,7
88,33,20,13,17
89,4,1,1,4
89,21,2,4,4
89,8,3,2,1
89,18,4,8,16
89,31,5,19,1
89,30,6,20,6
89,14,7,9,9
89,22,8,12,6
89,23,9,3,7
89,17,10,7,3
89,13,11,6,15
89,15,12,15,7
